cpdID,cpdName,HMDBClass,HMDBSubClass,Pathway (Kegg),rt,rt(minutes),cpdMonoisotopicMZ,ion,mz,mzMin,mzMax,rtMin,rtMax,chemspiderID,HMDBID,HMDBSubClass,HMDBDirectParent,LMapsID,LMapsSubclass,KEGGID,PubChemID,IUPAC,CAS,neutralFormula,InChI,InChIKey
HPOS-025.1,Trigonelline,Not available,Not available,Nicotinate and Nicotinamide Metabolism,290.998355898384,4.84997259830639,137.0476785,M+H,138.05495496,138.052884135676,138.057025784324,275.998355898384,305.998355898384,5369,HMDB0000875,,,,,C01004 ,,1-methylpyridin-1-ium-3-carboxylate,,,,
HPOS-025.2,Trigonelline ISF.1,,,,290.998355898384,4.84997259830639,,,94.065,94.063589025,94.066410975,275.998355898384,305.998355898384,,,,,,,,,,,,,
HPOS-025.3,Trigonelline ISF.2,,,,290.998355898384,4.84997259830639,,,92.045,92.043619325,92.046380675,275.998355898384,305.998355898384,,,,,,,,,,,,,
HPOS-028.1,N-Acetylputrescine,Carboximidic acids and derivatives ,Carboximidic acids,Polyamine Metabolism,264.072730304759,4.40121217174599,130.1106131,M+H,131.11788956,131.115922791657,131.119856328343,249.072730304759,279.072730304759,,HMDB0002064,,,,,C02714 ,,,,,,
HPOS-028.2,N-Acetylputrescine,,,,264.072730304759,4.40121217174599,,M+Na,153.0984,153.096103524,153.100696476,249.072730304759,279.072730304759,,,,,,,,,,,,,
HPOS-028.3,N-Acetylputrescine ISF.1,,,,264.072730304759,4.40121217174599,,,114.0902,114.088488647,114.091911353,249.072730304759,279.072730304759,,,,,,,,,,,,,
HPOS-029.1,4-Trimethylammoniobutanoate,Fatty Acyls ,Fatty acids and conjugates  ,Lysine Metabolism,294.509448868234,4.90849081447057,146.1181038,M,146.1181038,146.115912028443,146.120295571557,279.509448868234,309.509448868234,,HMDB0001161,,,,,C01181 ,,,,,,
HPOS-029.2,4-Trimethylammoniobutanoate ISF.1,,,,294.509448868234,4.90849081447057,,,87.048,87.04669428,87.04930572,279.509448868234,309.509448868234,,,,,,,,,,,,,
HPOS-036.1,Creatinine,Carboxylic acids and derivatives ,"Amino acids, peptides, and analogues ",Creatine Metabolism,150.405209639712,2.5067534939952,113.0589119,M+Na,136.0481326009,136.046091878911,136.050173322889,135.405209639712,165.405209639712,,HMDB0000562,,,,,C00791,,,,,,
HPOS-036.2,Creatinine,,,,150.405209639712,2.5067534939952,,2M+H,227.125,227.121593125,227.128406875,135.405209639712,165.405209639712,,,,,,,,,,,,,
HPOS-038.1,"1,1-Dimethylbiguanide (Metformin)",Organonitrogen compounds  ,Guanidines ,Drug,205.40583340468,3.42343055674467,129.1014453,M+H,130.108721752,130.106770121174,130.110673382826,190.40583340468,220.40583340468,,HMDB0001921,,,,,C07151  ,,,,,,
HPOS-038.2,"1,1-Dimethylbiguanide (Metformin) ISF.1",,,,205.40583340468,3.42343055674467,,,113.081,113.079303785,113.082696215,190.40583340468,220.40583340468,,,,,,,,,,,,,
HPOS-038.3,"1,1-Dimethylbiguanide (Metformin) ISF.2",,,,205.40583340468,3.42343055674467,,,88.087,88.085678695,88.088321305,190.40583340468,220.40583340468,,,,,,,,,,,,,
HPOS-038.4,"1,1-Dimethylbiguanide (Metformin) ISF.3",,,,205.40583340468,3.42343055674467,,,85.049,85.047724265,85.050275735,190.40583340468,220.40583340468,,,,,,,,,,,,,
HPOS-040.1,Phenylalanine,Carboxylic acids and derivatives  ,"Amino acids, peptides, and analogues  ",Phenylalanine Metabolism,226.777194119216,3.77961990198694,165.0789786,M+H,166.086255052,166.083763758174,166.088746345826,211.777194119216,241.777194119216,,HMDB0000159,,,,,C00079 ,,,,,,
HPOS-040.2,Phenylalanine ISF.1,,,,226.777194119216,3.77961990198694,165.0789786,,120.0806,120.078798791,120.082401209,211.777194119216,241.777194119216,,,,,,,,,,,,,
HPOS-040.3,Phenylalanine ISF.2,,,,226.777194119216,3.77961990198694,,,103.055,103.053454175,103.056545825,211.777194119216,241.777194119216,,,,,,,,,,,,,
HPOS-042.1,Trimethylamine N-oxide,Organonitrogen compounds ,Aminoxides  ,Methane metabolism; microbial metabolism,250.723726208493,4.17872877014155,75.0684139,M+H,76.075690352,76.0745492166447,76.0768314873553,235.723726208493,265.723726208493,,HMDB0000925,,,,,C01104,,,,,,
HPOS-042.2,Trimethylamine N-oxide,,,,250.723726208493,4.17872877014155,75.0684139,2M+H,151.144104252,151.141837090436,151.146371413564,235.723726208493,265.723726208493,,,,,,,,,,,,,
HPOS-043.1,Proline,Carboxylic acids and derivatives ,"Amino acids, peptides, and analogues ",Urea cycle; Arginine and Proline Metabolism,267.447669407198,4.45746115678663,115.0633285,M+H,116.070604952,116.068863892926,116.072346011074,252.447669407197,282.447669407198,,HMDB0000162,,,,,C00148,,,,,,
HPOS-043.2,Proline,,,,267.447669407198,4.45746115678663,,M+2Na-H,160.035,160.032599475,160.037400525,252.447669407197,282.447669407198,,,,,,,,,,,,,
HPOS-043.3,Proline,,,,267.447669407198,4.45746115678663,,2M+H+2Na.formate,365.067,365.061523995,365.072476005,252.447669407197,282.447669407198,,,,,,,,,,,,,
HPOS-043.4,Proline ISF.1,,,,267.447669407198,4.45746115678663,,,70.066,70.06494901,70.06705099,252.447669407197,282.447669407198,,,,,,,,,,,,,
HPOS-044.1,Alanine,Carboxylic acids and derivatives ,"Amino acids, peptides, and analogues ","Alanine, aspartate and glutamate metabolism",273.944224897737,4.56573708162895,89.0476785,M+2Na-H,134.0188434498,134.016833167148,134.020853732452,258.944224897737,288.944224897737,,HMDB0000161,,,,,C00041  ,,,,,,
HPOS-044.2,Alanine,,,,273.944224897737,4.56573708162895,,2M+H+2Na.formate,313.0355,313.0308044675,313.0401955325,258.944224897737,288.944224897737,,,,,,,,,,,,,
HPOS-044.3,Alanine,,,,273.944224897737,4.56573708162895,,3M+Na+2Na.formate,356.078,356.07265883,356.08334117,258.944224897737,288.944224897737,,,,,,,,,,,,,
HPOS-045.1,Creatine,Carboxylic acids and derivatives ,"Amino acids, peptides, and analogues ",Creatine Metabolism,303.583866851527,5.05973111419212,131.0694765,M+H,132.076752952,132.074771800706,132.078734103294,288.583866851527,318.583866851527,,HMDB0000064,,,,,C00300  ,,,,,,
HPOS-045.2,Creatine,,,,303.583866851527,5.05973111419212,131.0694765,M+Na,154.0586972009,154.056386320442,154.061008081358,288.583866851527,318.583866851527,,,,,,,,,,,,,
HPOS-045.3,Creatine,,,,303.583866851527,5.05973111419212,,M+2Na-H,176.0415,176.0388593775,176.0441406225,288.583866851527,318.583866851527,,,,,,,,,,,,,
HPOS-045.4,Creatine ISF.1,,,,303.583866851527,5.05973111419212,,,90.055,90.053649175,90.056350825,288.583866851527,318.583866851527,,,,,,,,,,,,,
HPOS-051.1,3-methylhistidine,Carboxylic acids and derivatives ,"Amino acids, peptides, and analogues ",Histidine Metabolism,365.502067834862,6.09170113058104,169.0851266,M+H,170.092403052,170.089851665954,170.094954438046,350.502067834862,380.502067834862,,HMDB0000479,,,,,C01152  ,,,,,,
HPOS-051.2,3-methylhistidine ISF.1,,,,365.502067834862,6.09170113058104,,,126.102,126.10010847,126.10389153,350.502067834862,380.502067834862,,,,,,,,,,,,,
HPOS-051.3,3-methylhistidine ISF.2,,,,365.502067834862,6.09170113058104,,,96.067,96.065558995,96.068441005,350.502067834862,380.502067834862,,,,,,,,,,,,,
HPOS-055.1,Hypoxanthine ,Imidazopyrimidines  ,Purines and purine derivatives  ,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",95.5203187597875,1.59200531266313,136.03851076,M+H,137.045787212,137.043731525192,137.047842898808,80.5203187597875,110.520318759788,,HMDB0000157,,,,,C00262 ,,,,,,
HPOS-055.2,Hypoxanthine ,,,,95.5203187597875,1.59200531266313,136.03851076,M+Na,159.0277314609,159.025346044928,159.030116876872,80.5203187597875,110.520318759788,,,,,,,,,,,,,
HPOS-055.3,Hypoxanthine ISF.1,,,,95.5203187597875,1.59200531266313,,,119.036,119.03421446,119.03778554,80.5203187597875,110.520318759788,,,,,,,,,,,,,
HPOS-055.4,Hypoxanthine ISF.2,,,,95.5203187597875,1.59200531266313,,,110.035,110.033349475,110.036650525,80.5203187597875,110.520318759788,,,,,,,,,,,,,
HPOS-056.1,Pantothenate,Organooxygen compounds  ,Alcohols and polyols  ,Pantothenate and CoA Metabolism,67.9708349230008,1.13284724871668,219.1106726,M+H,220.117949052,220.114647282764,220.121250821236,52.9708349230008,82.9708349230008,,HMDB0000210,,,,,C00864 ,,,,,,
HPOS-056.2,Pantothenate,,,,67.9708349230008,1.13284724871668,,M+Na,242.099,242.095368515,242.102631485,52.9708349230008,82.9708349230008,,,,,,,,,,,,,
HPOS-056.3,Pantothenate ISF.1,,,,67.9708349230008,1.13284724871668,,,202.107,202.103968395,202.110031605,52.9708349230008,82.9708349230008,,,,,,,,,,,,,
HPOS-056.4,Pantothenate ISF.2,,,,67.9708349230008,1.13284724871668,,,90.055,90.053649175,90.056350825,52.9708349230008,82.9708349230008,,,,,,,,,,,,,
HPOS-057.1,Urocanate,Azoles  ,Imidazoles  ,Histidine Metabolism,78.2256479183394,1.30376079863899,138.0429274,M+H,139.050203852,139.048118098942,139.052289605058,63.2256479183394,93.2256479183394,,HMDB0000301,,,,,C00785,,,,,,
HPOS-057.2,Urocanate ISF.1,,,,78.2256479183394,1.30376079863899,,,121.033,121.031184505,121.034815495,63.2256479183394,93.2256479183394,,,,,,,,,,,,,
HPOS-057.3,Urocanate ISF.2,,,,78.2256479183394,1.30376079863899,,,93.043,93.041604355,93.044395645,63.2256479183394,93.2256479183394,,,,,,,,,,,,,
HPOS-057.4,Urocanate ISF.3,,,,78.2256479183394,1.30376079863899,,,95.06,95.0585741,95.0614259,63.2256479183394,93.2256479183394,,,,,,,,,,,,,
HPOS-059.1,Cytosine,Diazines  ,Pyrimidines and pyrimidine derivatives  ,Pyrimidine metabolism,143.532101750838,2.3922016958473,111.04326179,M+H,112.050538242,112.048857483926,112.052219000074,128.532101750838,158.532101750838,,HMDB0000630,,,,,C00380,,,,,,
HPOS-059.2,Cytosine,,,,143.532101750838,2.3922016958473,,M+Na,134.031,134.028989535,134.033010465,128.532101750838,158.532101750838,,,,,,,,,,,,,
HPOS-059.3,Cytosine,,,,143.532101750838,2.3922016958473,,M+2Na-H,156.012,156.00965982,156.01434018,128.532101750838,158.532101750838,,,,,,,,,,,,,
HPOS-062.1,Tiglylcarnitine (C5:1),Fatty Acyls  ,Fatty acid esters  ,,272.561322361636,4.54268870602727,243.14705815,M+H,244.154334602,244.150672286981,244.157996917019,257.561322361636,287.561322361636,,HMDB0002366,,,,,NA,,,,,,
HPOS-062.2,Tiglylcarnitine (C5:1) ISF.1,,,,272.561322361636,4.54268870602727,,,185.0816,185.078823776,185.084376224,257.561322361636,287.561322361636,,,,,,,,,,,,,
HPOS-064.1,Decadienoylcarnitine (C10:2),Fatty Acyls  ,Fatty acid esters  ,,246.449457661844,4.10749096103073,311.2096584,M+H,312.216934852,312.212251597977,312.221618106023,231.449457661844,261.449457661844,,HMDB0013325,,,,,NA,,,,,,
HPOS-064.2,Decadienoylcarnitine (C10:2),,,,246.449457661844,4.10749096103073,,M+Na,334.2,334.194987,334.205013,231.449457661844,261.449457661844,,,,,,,,,,,,,
HPOS-064.3,Decadienoylcarnitine (C10:2) ISF.1,,,,246.449457661844,4.10749096103073,,,253.146,253.14220281,253.14979719,231.449457661844,261.449457661844,,,,,,,,,,,,,
HPOS-072.1,Thiamine,Diazines  ,Pyrimidines and pyrimidine derivatives  ,Thiamine metabolism,329.550948348065,5.49251580580108,265.112306876,M+,265.112306876,265.108330191397,265.116283560603,314.550948348065,344.550948348065,1098,HMDB0000235,,,,,C00378,1130,"3-[(4-amino-2-methylpyrimidin-5-yl)methyl]-5-(2-hydroxyethyl)-4-methyl-1,3-thiazol-3-ium",,,,
HPOS-072.2,Thiamine ISF.1,,,,329.550948348065,5.49251580580108,,,122.071,122.069168935,122.072831065,314.550948348065,344.550948348065,,,,,,,,,,,,,
HPOS-072.3,Thiamine ISF.2,,,,329.550948348065,5.49251580580108,,,144.046,144.04383931,144.04816069,314.550948348065,344.550948348065,,,,,,,,,,,,,
HPOS-074.1,"N,N-Dimethylglycine",Carboxylic acids and derivatives ,"Amino acids, peptides, and analogues ","Glycine, Serine and Threonine Metabolism",278.315601660395,4.63859336100658,103.0633285388,M+H,104.0711535709,104.069592503596,104.072714638204,263.315601660395,293.315601660395,653,HMDB0000092,,,,,C01026,673,2-(Dimethylamino)acetic acid,,,,
HPOS-074.2,"N,N-Dimethylglycine",,,,278.315601660395,4.63859336100658,,M+2Na-H,148.033,148.030779505,148.035220495,263.315601660395,293.315601660395,,,,,,,,,,,,,
HPOS-075.1,Pseudouridine,Nucleoside and nucleotide analogues,,Pyrimidine metabolism,76.1950314197554,1.25,244.0695361119,M+H,245.076812586,245.073136433811,245.080488738189,61.1950314197554,91.1950314197554,,HMDB0000767,,,,,C02067,,,,,,
HPOS-075.2,Pseudouridine ISF.1,,,,76.1950314197554,1.25,,,209.056,209.05286416,209.05913584,61.1950314197554,91.1950314197554,,,,,,,,,,,,,
HPOS-075.3,Pseudouridine ISF.2,,,,76.1950314197554,1.25,,,191.0447,191.0418343295,191.0475656705,61.1950314197554,91.1950314197554,,,,,,,,,,,,,
HPOS-075.4,Pseudouridine ISF.3,,,,76.1950314197554,1.25,,,179.0446,179.041914331,179.047285669,61.1950314197554,91.1950314197554,,,,,,,,,,,,,
HPOS-075.5,Pseudouridine ISF.4,,,,76.1950314197554,1.25,,,155.044,155.04167434,155.04632566,61.1950314197554,91.1950314197554,,,,,,,,,,,,,
HPOS-078.1,"N2,N2-Dimethylguanosine",Purine nucleosides  ,,,116.167212648679,1.9,311.1229686673,M+H,312.130245139,312.125563185323,312.134927092677,101.167212648679,131.167212648679,,HMDB0004824,,,,,NA,,,,,,
HPOS-078.2,"N2,N2-Dimethylguanosine ISF.1",,,,116.167212648679,1.9,,,180.089,180.086298665,180.091701335,101.167212648679,131.167212648679,,,,,,,,,,,,,
HPOS-078.3,"N2,N2-Dimethylguanosine ISF.2",,,,116.167212648679,1.9,,,110.0357,110.0340494645,110.0373505355,101.167212648679,131.167212648679,,,,,,,,,,,,,
HPOS-080.1,Butyrylcarnitine,Fatty Acyls  ,Fatty acid esters  ,,277.023693687586,4.69,231.1470581566,M+H,232.154334625,232.150852309981,232.157816940019,262.023693687586,292.023693687586,,HMDB0002013,,,,,C02862  ,,,,,,
HPOS-080.2,Butyrylcarnitine ISF.1,,,,277.023693687586,4.69,,,173.0816,173.079003776,173.084196224,262.023693687586,292.023693687586,,,,,,,,,,,,,
HPOS-080.3,Butyrylcarnitine ISF.2,,,,277.023693687586,4.69,,,85.028,85.02672458,85.02927542,262.023693687586,292.023693687586,,,,,,,,,,,,,
HPOS-082.1,7-Methylguanine,Imidazopyrimidines ,Purines and purine derivatives ,,134.415590534477,2.19,165.0650598684,M+H,166.072336331,166.069845245955,166.074827416045,119.415590534477,149.415590534477,,HMDB0000897,,,,,C02242  ,,,,,,
HPOS-082.2,7-Methylguanine ISF.1,,,,134.415590534477,2.19,,,149.0455,149.0432643175,149.0477356825,119.415590534477,149.415590534477,,,,,,,,,,,,,
HPOS-082.3,7-Methylguanine ISF.2,,,,134.415590534477,2.19,,,124.05,124.04813925,124.05186075,119.415590534477,149.415590534477,,,,,,,,,,,,,
HPOS-085.1,N1-methyl-4-pyridone-3-carboxamide,Pyridines and derivatives ,Pyridinecarboxylic acids and derivatives ,Nicotinate and nicotinamide metabolism,92.573647946225,1.5,C7H8N2O2,M+H,153.0659,153.0636040115,153.0681959885,77.573647946225,107.573647946225,,HMDB0004194,,,,,C05843,,,,,,
HPOS-085.2,N1-methyl-4-pyridone-3-carboxamide,,,,92.573647946225,1.5,,M+Na,175.047,175.044374295,175.049625705,77.573647946225,107.573647946225,,,,,,,,,,,,,
HPOS-085.3,N1-methyl-4-pyridone-3-carboxamide ISF.1,,,,92.573647946225,1.5,,,136.038,136.03595943,136.04004057,77.573647946225,107.573647946225,,,,,,,,,,,,,
